차아, 45, 182
마다, 47, 175
마카, 98, 181
타카, 60, 163
사자, 41, 172
마다, 94, 164
하마, 66, 151
바파, 81, 190
다마, 69, 195
자마, 76, 197
카타, 96, 162
타가, 59, 150
카나, 85, 195
마자, 88, 198
차차, 55, 183
사라, 85, 176
하카, 47, 187
자하, 92, 162
아사, 99, 173
다자, 91, 173
타마, 52, 187
다가, 85, 153
라타, 93, 195
파자, 97, 183
마자, 90, 151
사차, 99, 183
가사, 83, 153
바마, 44, 168
자아, 46, 182
나파, 95, 161
하파, 79, 154
카마, 56, 167
사카, 73, 158
마아, 93, 173
사타, 79, 193
사아, 89, 161
타나, 63, 178
차아, 67, 181
차가, 61, 170
자타, 82, 199
아마, 64, 190
카나, 56, 171
라자, 79, 166
가차, 85, 196
마하, 41, 197
사바, 53, 181
하라, 80, 162
바차, 96, 195
자자, 74, 194
나바, 88, 191
카나, 96, 168
카다, 97, 189
하다, 40, 157
차자, 95, 168
파카, 90, 167
다라, 90, 166
바마, 46, 159
자카, 77, 189
사사, 82, 176
자사, 82, 186
자다, 81, 197
라하, 49, 174
사차, 51, 192
타자, 45, 162
자다, 57, 184
다바, 86, 197
타사, 99, 182
자바, 93, 173
아나, 96, 170
차바, 95, 156
다바, 95, 183
파타, 88, 155
타마, 84, 190
차아, 88, 152
아바, 71, 183
파아, 68, 199
바나, 99, 171
바하, 80, 196
하다, 55, 161
가나, 59, 169
차나, 93, 184
카라, 63, 197
가하, 59, 176
사라, 81, 175
가나, 97, 173
아마, 76, 150
마타, 70, 195
차가, 68, 157
라하, 82, 187
가나, 70, 165
카파, 79, 164
다차, 78, 150
라카, 61, 156
마사, 78, 183
마파, 54, 199
라마, 66, 185
아카, 78, 181
나하, 59, 166
가가, 57, 199
카가, 69, 152
나가, 53, 198
사다, 95, 192
하하, 82, 155
바라, 69, 171
카자, 70, 163
카자, 95, 161
라파, 47, 180
나아, 78, 158
라마, 67, 166
파아, 90, 173
다라, 85, 151
자나, 42, 180
마나, 90, 166
하마, 56, 163
마자, 49, 169
사차, 86, 156
가다, 90, 197
타파, 43, 183
가파, 64, 175
파마, 50, 170
타마, 54, 170
카다, 68, 183
하차, 54, 170
마차, 52, 199
가하, 56, 156
마하, 71, 176
다파, 67, 157
사자, 74, 170
사마, 63, 195
카다, 55, 179
나아, 56, 193
자자, 73, 182
다사, 54, 159
차가, 98, 187
차바, 49, 192
가아, 71, 183
타바, 40, 199
다파, 77, 160
사가, 42, 153
아마, 62, 187
카차, 73, 176
마다, 56, 160
바자, 43, 189
사아, 80, 182
가카, 40, 173
사나, 67, 186
타가, 46, 170
마나, 49, 193
하라, 99, 165
타다, 75, 191
가다, 62, 175
바아, 85, 182
차카, 72, 195
하마, 88, 186
사라, 62, 170
라가, 61, 174
파라, 84, 152
차카, 43, 152
타사, 98, 176
타나, 67, 152
다마, 72, 180
타파, 95, 174
나사, 93, 196
타파, 46, 185
타마, 48, 190
아파, 48, 192
마타, 64, 156
타하, 92, 190
파타, 41, 169
카하, 88, 167
라하, 75, 184
가바, 78, 192
다차, 60, 168
아차, 67, 181
사타, 94, 187
카하, 86, 176
카나, 66, 187
카다, 65, 198
가라, 97, 161
차라, 58, 180
파나, 89, 175
사다, 75, 175
차사, 96, 155
다아, 51, 182
아자, 93, 194
마타, 47, 173
파마, 96, 162
차다, 66, 173
마마, 90, 160
타파, 78, 179
아다, 81, 167
차파, 51, 152
타파, 65, 170
나나, 66, 196
아가, 93, 193
마카, 83, 185
차다, 73, 191
가다, 44, 151
사카, 81, 198
